Column,dtype,Units,Transformations,Non-null count
TC-TEC-INT-L__delta_vs_24hmean,float64,°C,None,1670
TC-TEC-INT-L__z_24h,float64,°C,None,1670
TC-TEC-INT-L__jump_flag_24h,int64,°C,None,1702
TC-TEC-BOT-U__mean_24h,float64,°C,None,1689
TC-TEC-BOT-U__delta_vs_24hmean,float64,°C,None,1670
TC-TEC-BOT-U__z_24h,float64,°C,None,1670
TC-TEC-BOT-U__jump_flag_24h,int64,°C,None,1702
TC-TEC-BOT-L__mean_24h,float64,°C,None,1689
TC-TEC-BOT-L__delta_vs_24hmean,float64,°C,None,1670
TC-TEC-BOT-L__z_24h,float64,°C,None,1670
TC-TEC-BOT-L__jump_flag_24h,int64,°C,None,1702
TU-TEC-INT-U__mean_24h,float64,°C,None,1689
TU-TEC-INT-U__delta_vs_24hmean,float64,°C,None,1670
TU-TEC-INT-U__z_24h,float64,°C,None,1670
TU-TEC-INT-U__jump_flag_24h,int64,°C,None,1702
TU-TEC-INT-L__mean_24h,float64,°C,None,1689
TU-TEC-INT-L__delta_vs_24hmean,float64,°C,None,1670
TU-TEC-INT-L__z_24h,float64,°C,None,1670
TU-TEC-INT-L__jump_flag_24h,int64,°C,None,1702
TU-TEC-BOT-U__mean_24h,float64,°C,None,1689
TU-TEC-BOT-U__delta_vs_24hmean,float64,°C,None,1670
TU-TEC-BOT-U__z_24h,float64,°C,None,1670
TU-TEC-BOT-U__jump_flag_24h,int64,°C,None,1702
TU-TEC-BOT-L__mean_24h,float64,°C,None,1689
TU-TEC-BOT-L__delta_vs_24hmean,float64,°C,None,1670
TU-TEC-BOT-L__z_24h,float64,°C,None,1670
TU-TEC-BOT-L__jump_flag_24h,int64,°C,None,1702
Injection EC__mean_24h,float64,µS/cm,None,1689
Injection EC__delta_vs_24hmean,float64,µS/cm,None,1670
Injection EC__z_24h,float64,µS/cm,None,1670
Injection EC__jump_flag_24h,int64,µS/cm,None,1702
TL Interval EC__mean_24h,float64,µS/cm,None,1689
TL Interval EC__delta_vs_24hmean,float64,µS/cm,None,1670
TL Interval EC__z_24h,float64,µS/cm,None,1670
TL Interval EC__jump_flag_24h,int64,µS/cm,None,1702
TL Bottom EC__mean_24h,float64,µS/cm,None,1689
TL Bottom EC__delta_vs_24hmean,float64,µS/cm,None,1670
TL Bottom EC__z_24h,float64,µS/cm,None,1670
TL Bottom EC__jump_flag_24h,int64,µS/cm,None,1702
TN Interval EC__mean_24h,float64,µS/cm,None,1689
TN Interval EC__delta_vs_24hmean,float64,µS/cm,None,1670
TN Interval EC__z_24h,float64,µS/cm,None,1670
TN Interval EC__jump_flag_24h,int64,µS/cm,None,1702
TN Bottom EC__mean_24h,float64,µS/cm,None,1689
TN Bottom EC__delta_vs_24hmean,float64,µS/cm,None,1670
TN Bottom EC__z_24h,float64,µS/cm,None,1670
TN Bottom EC__jump_flag_24h,int64,µS/cm,None,1702
TC Interval EC__mean_24h,float64,µS/cm,None,1689
TC Interval EC__delta_vs_24hmean,float64,µS/cm,None,1670
TC Interval EC__z_24h,float64,µS/cm,None,1670
TC Interval EC__jump_flag_24h,int64,µS/cm,None,1702
TC Bottom EC__mean_24h,float64,µS/cm,None,1689
TC Bottom EC__delta_vs_24hmean,float64,µS/cm,None,1670
TC Bottom EC__z_24h,float64,µS/cm,None,1670
TC Bottom EC__jump_flag_24h,int64,µS/cm,None,1702
TU Interval EC__mean_24h,float64,µS/cm,None,1689
TU Interval EC__delta_vs_24hmean,float64,µS/cm,None,1670
TU Interval EC__z_24h,float64,µS/cm,None,1670
TU Interval EC__jump_flag_24h,int64,µS/cm,None,1702
TU Bottom EC__mean_24h,float64,µS/cm,None,1689
TU Bottom EC__delta_vs_24hmean,float64,µS/cm,None,1670
TU Bottom EC__z_24h,float64,µS/cm,None,1670
TU Bottom EC__jump_flag_24h,int64,µS/cm,None,1702
TS Interval EC__mean_24h,float64,µS/cm,None,1689
TS Interval EC__delta_vs_24hmean,float64,µS/cm,None,1670
TS Interval EC__z_24h,float64,µS/cm,None,1670
TS Interval EC__jump_flag_24h,int64,µS/cm,None,1702
TS Bottom EC__mean_24h,float64,µS/cm,None,1689
TS Bottom EC__delta_vs_24hmean,float64,µS/cm,None,1670
TS Bottom EC__z_24h,float64,µS/cm,None,1670
TS Bottom EC__jump_flag_24h,int64,µS/cm,None,1702
